Timestamp,Email Address,Your CS Login,Github Username,Discord,(optional) Partner CS Login,(optional) Partner Github Login,(optional) partner discord login,Check all mentor meeting slots for which you will be available each week of Project 2
7/3/2021,rmartugin1k@theguardian.com,mwiddowson1k,icarine1k,wcarle1k,,,,"Tues 8:00pm - 8:15pm, Tues 8:40pm - 8:55pm, Weds 8:20pm - 8:35pm, Tues 4:30pm - 4:45pm, Tues 11:20am - 11:35am, Weds 9:40pm - 9:55pm, Tues 6:40pm - 6:55pm, Tues 6:20pm - 6:35pm, Tues 11:00am - 11:15am, Weds 9:20pm - 9:35pm, Tues 4:50pm - 5:05pm, Weds 7:40pm - 7:55pm, Tues 10:20am - 10:35am"
2/25/2022,mcraker1l@hexun.com,cheazel1l,tdyball1l,rshenfisch1l,,,,"Weds 8:00pm - 8:15pm, Tues 6:40pm - 6:55pm, Tues 10:40am - 10:55am, Weds 9:40pm - 9:55pm, Tues 10:00am - 10:15am, Tues 10:20am - 10:35am, Tues 4:50pm - 5:05pm, Tues 7:40pm - 7:55pm, Tues 4:30pm - 4:45pm, Weds 2:20pm - 2:35pm, Weds 2:00pm - 2:15pm, Weds 7:20pm - 7:35pm, Weds 7:40pm - 7:55pm, Weds 5:00pm - 5:15pm, Weds 5:40pm - 5:55pm, Weds 9:00pm - 9:15pm, Tues 11:00am - 11:15am, Weds 9:20pm - 9:35pm, Tues 5:10pm - 5:25pm, Tues 7:20pm - 7:35pm, Tues 8:40pm - 8:55pm, Weds 8:40pm - 8:55pm, Tues 6:20pm - 6:35pm"
5/6/2021,ahustler1m@e-recht24.de,gstelfax1m,bferenczi1m,dfranzewitch1m,,,,"Tues 10:20am - 10:35am, Weds 2:20pm - 2:35pm, Tues 4:50pm - 5:05pm, Weds 8:40pm - 8:55pm, Weds 2:00pm - 2:15pm, Weds 8:00pm - 8:15pm, Tues 5:10pm - 5:25pm, Tues 7:40pm - 7:55pm, Weds 8:20pm - 8:35pm, Tues 8:20pm - 8:35pm, Tues 6:40pm - 6:55pm, Tues 7:20pm - 7:35pm, Tues 11:20am - 11:35am, Tues 8:00pm - 8:15pm, Weds 9:20pm - 9:35pm, Weds 5:00pm - 5:15pm, Tues 5:10pm - 5:25pm, Tues 10:00am - 10:15am, Weds 7:40pm - 7:55pm, Weds 7:00pm - 7:15pm"
11/1/2021,ntart1n@123-reg.co.uk,fhindhaugh1n,sorrocks1n,njados1n,,,,"Tues 7:40pm - 7:55pm, Tues 5:10pm - 5:25pm, Weds 9:00pm - 9:15pm, Weds 8:00pm - 8:15pm, Tues 8:40pm - 8:55pm, Tues 8:00pm - 8:15pm, Weds 8:40pm - 8:55pm, Weds 2:20pm - 2:35pm, Tues 10:40am - 10:55am"
2/7/2022,gtreker1o@nifty.com,dmerrisson1o,hdanihel1o,tlaffin1o,,,,"Tues 11:20am - 11:35am, Tues 11:00am - 11:15am, Weds 9:40pm - 9:55pm, Weds 7:00pm - 7:15pm, Weds 5:40pm - 5:55pm, Tues 8:40pm - 8:55pm, Weds 8:20pm - 8:35pm, Weds 2:40pm - 2:55pm, Tues 7:20pm - 7:35pm"
10/30/2021,afedynski1p@tripod.com,wbrotheridge1p,jboxall1p,tdrillot1p,,,,"Weds 7:00pm - 7:15pm, Weds 5:40pm - 5:55pm, Tues 7:20pm - 7:35pm, Weds 7:20pm - 7:35pm, Tues 5:10pm - 5:25pm, Weds 8:00pm - 8:15pm, Tues 10:40am - 10:55am, Weds 5:00pm - 5:15pm, Tues 8:00pm - 8:15pm, Tues 7:40pm - 7:55pm, Weds 8:40pm - 8:55pm"
3/31/2021,mhamnett1q@paginegialle.it,sfortey1q,mcavendish1q,gbohea1q,,,,"Tues 8:20pm - 8:35pm, Tues 4:30pm - 4:45pm, Weds 2:20pm - 2:35pm, Weds 7:20pm - 7:35pm"
6/2/2021,ceudall1r@statcounter.com,lstabler1r,dedney1r,kcristofori1r,,,,"Weds 9:20pm - 9:35pm, Tues 7:00pm - 7:15pm, Weds 7:00pm - 7:15pm, Tues 5:10pm - 5:25pm, Weds 5:20pm - 5:35pm, Tues 10:20am - 10:35am, Tues 4:30pm - 4:45pm, Weds 8:20pm - 8:35pm, Weds 8:40pm - 8:55pm, Weds 9:40pm - 9:55pm, Tues 10:00am - 10:15am, Tues 6:40pm - 6:55pm, Tues 7:40pm - 7:55pm, Weds 7:40pm - 7:55pm, Weds 8:00pm - 8:15pm, Weds 5:00pm - 5:15pm, Weds 5:40pm - 5:55pm, Tues 5:10pm - 5:25pm, Tues 6:20pm - 6:35pm, Weds 2:00pm - 2:15pm, Weds 2:20pm - 2:35pm, Tues 8:00pm - 8:15pm"
7/8/2021,ftorregiani1s@reuters.com,lbeernaert1s,hgatty1s,jbloschke1s,,,,"Weds 9:00pm - 9:15pm, Tues 6:00pm - 6:15pm, Weds 7:20pm - 7:35pm"
5/31/2021,nbartolomeoni1t@mapquest.com,cmilroy1t,vjouanny1t,jpolo1t,,,,"Weds 8:00pm - 8:15pm, Tues 8:40pm - 8:55pm, Weds 9:40pm - 9:55pm, Tues 5:10pm - 5:25pm, Weds 9:20pm - 9:35pm, Weds 5:40pm - 5:55pm, Tues 4:30pm - 4:45pm, Tues 11:00am - 11:15am, Weds 8:40pm - 8:55pm, Weds 7:00pm - 7:15pm, Weds 2:20pm - 2:35pm, Tues 7:40pm - 7:55pm, Weds 5:20pm - 5:35pm, Tues 5:10pm - 5:25pm, Tues 11:20am - 11:35am, Tues 7:20pm - 7:35pm, Tues 8:00pm - 8:15pm, Tues 8:20pm - 8:35pm, Weds 7:20pm - 7:35pm, Tues 7:00pm - 7:15pm, Weds 8:20pm - 8:35pm, Tues 10:40am - 10:55am, Tues 6:00pm - 6:15pm, Weds 5:00pm - 5:15pm"
5/14/2021,dbelleny1u@booking.com,hfew1u,dpinkstone1u,hmccullock1u,,,,"Weds 7:20pm - 7:35pm, Tues 7:00pm - 7:15pm, Tues 4:50pm - 5:05pm, Tues 6:20pm - 6:35pm, Tues 7:20pm - 7:35pm, Tues 8:40pm - 8:55pm"
3/24/2021,twingatt1v@nature.com,kgoudman1v,kmcgarvie1v,bdionisi1v,,,,"Tues 8:00pm - 8:15pm, Weds 5:20pm - 5:35pm, Weds 9:40pm - 9:55pm, Weds 8:00pm - 8:15pm, Weds 8:40pm - 8:55pm, Tues 4:50pm - 5:05pm, Tues 7:40pm - 7:55pm, Tues 4:30pm - 4:45pm, Tues 8:20pm - 8:35pm, Weds 7:20pm - 7:35pm, Tues 5:10pm - 5:25pm, Weds 2:00pm - 2:15pm"
1/31/2022,sgligorijevic1w@discuz.net,bpetigrew1w,wmeneghelli1w,dlaherty1w,chuggin1w,kdjurkovic1w,mfinnemore1w,"Tues 7:20pm - 7:35pm, Tues 8:00pm - 8:15pm, Weds 9:00pm - 9:15pm, Tues 4:50pm - 5:05pm, Weds 5:00pm - 5:15pm, Tues 11:00am - 11:15am, Weds 7:40pm - 7:55pm, Tues 5:10pm - 5:25pm, Weds 7:20pm - 7:35pm, Tues 10:40am - 10:55am"
2/21/2022,creubens1x@shutterfly.com,mhallyburton1x,gheimes1x,eburg1x,,,,"Tues 8:40pm - 8:55pm, Tues 10:00am - 10:15am, Tues 7:00pm - 7:15pm, Weds 9:00pm - 9:15pm, Tues 8:00pm - 8:15pm, Tues 5:10pm - 5:25pm, Tues 4:30pm - 4:45pm, Tues 7:40pm - 7:55pm, Weds 8:20pm - 8:35pm, Weds 8:00pm - 8:15pm, Weds 2:40pm - 2:55pm, Weds 2:20pm - 2:35pm"
2/21/2022,bswannell1y@sphinn.com,cbatham1y,dcamier1y,cmaddrell1y,,,,"Tues 7:40pm - 7:55pm, Weds 7:20pm - 7:35pm, Tues 11:00am - 11:15am, Tues 11:20am - 11:35am, Tues 6:20pm - 6:35pm, Weds 9:40pm - 9:55pm, Tues 4:30pm - 4:45pm, Tues 5:10pm - 5:25pm, Weds 8:00pm - 8:15pm, Tues 5:10pm - 5:25pm, Tues 4:50pm - 5:05pm, Weds 7:00pm - 7:15pm, Weds 9:20pm - 9:35pm, Weds 2:00pm - 2:15pm, Weds 5:20pm - 5:35pm, Weds 5:00pm - 5:15pm"
5/24/2021,kivashov1z@netvibes.com,cserotsky1z,gspurritt1z,wdorrian1z,,,,"Tues 8:00pm - 8:15pm, Weds 8:00pm - 8:15pm, Weds 7:40pm - 7:55pm, Tues 5:10pm - 5:25pm, Weds 5:00pm - 5:15pm, Weds 5:20pm - 5:35pm, Tues 10:40am - 10:55am, Weds 2:40pm - 2:55pm, Tues 4:30pm - 4:45pm, Weds 8:20pm - 8:35pm, Tues 7:20pm - 7:35pm, Tues 6:00pm - 6:15pm, Tues 10:00am - 10:15am, Tues 10:20am - 10:35am, Tues 6:40pm - 6:55pm, Tues 6:20pm - 6:35pm, Weds 9:00pm - 9:15pm"
1/17/2022,kbourbon20@csmonitor.com,cshambrooke20,spadmore20,pdonohoe20,,,,"Tues 10:40am - 10:55am, Tues 8:40pm - 8:55pm, Tues 11:20am - 11:35am, Tues 10:20am - 10:35am, Weds 8:40pm - 8:55pm, Tues 10:00am - 10:15am, Weds 2:40pm - 2:55pm, Weds 9:40pm - 9:55pm, Tues 6:00pm - 6:15pm, Tues 6:40pm - 6:55pm"
4/17/2021,kbutland21@columbia.edu,mmayhow21,mlamyman21,trawles21,,,,"Tues 4:30pm - 4:45pm, Weds 9:00pm - 9:15pm, Tues 8:20pm - 8:35pm, Weds 7:20pm - 7:35pm, Tues 7:40pm - 7:55pm, Tues 10:40am - 10:55am, Tues 8:00pm - 8:15pm, Weds 8:00pm - 8:15pm, Tues 4:50pm - 5:05pm, Weds 8:40pm - 8:55pm, Weds 5:00pm - 5:15pm, Tues 5:10pm - 5:25pm, Weds 9:40pm - 9:55pm, Weds 9:20pm - 9:35pm, Weds 5:40pm - 5:55pm, Tues 6:00pm - 6:15pm, Weds 2:20pm - 2:35pm, Tues 5:10pm - 5:25pm, Tues 10:20am - 10:35am, Tues 7:20pm - 7:35pm, Tues 10:00am - 10:15am, Tues 7:00pm - 7:15pm, Tues 11:20am - 11:35am, Weds 2:00pm - 2:15pm, Tues 8:40pm - 8:55pm"
5/3/2021,jcogar22@cnet.com,jharmston22,hplaid22,ysambell22,,,,"Tues 8:20pm - 8:35pm, Tues 7:20pm - 7:35pm, Tues 11:20am - 11:35am, Tues 4:30pm - 4:45pm, Tues 10:40am - 10:55am"
8/20/2021,ecaffrey23@lycos.com,amatelyunas23,hsebastian23,ekirkbride23,,,,"Weds 5:00pm - 5:15pm, Tues 7:00pm - 7:15pm"
6/24/2021,cleades24@nbcnews.com,svanni24,phouseley24,aobrian24,,,,"Tues 10:00am - 10:15am, Weds 5:00pm - 5:15pm, Tues 4:50pm - 5:05pm, Tues 6:40pm - 6:55pm, Weds 9:00pm - 9:15pm, Tues 5:10pm - 5:25pm, Tues 7:40pm - 7:55pm, Tues 7:20pm - 7:35pm, Tues 10:40am - 10:55am, Weds 9:40pm - 9:55pm, Tues 8:00pm - 8:15pm"
3/12/2021,rmonini25@sitemeter.com,wcroughan25,tlighton25,sharsent25,,,,"Weds 7:40pm - 7:55pm, Weds 5:00pm - 5:15pm, Tues 5:10pm - 5:25pm, Tues 8:00pm - 8:15pm, Weds 2:40pm - 2:55pm, Weds 7:00pm - 7:15pm, Weds 8:20pm - 8:35pm, Weds 5:40pm - 5:55pm, Weds 2:00pm - 2:15pm, Weds 9:40pm - 9:55pm, Tues 4:30pm - 4:45pm, Weds 2:20pm - 2:35pm, Tues 6:40pm - 6:55pm, Tues 7:20pm - 7:35pm, Weds 8:00pm - 8:15pm, Tues 11:20am - 11:35am, Tues 6:20pm - 6:35pm, Weds 7:20pm - 7:35pm, Tues 4:50pm - 5:05pm, Tues 6:00pm - 6:15pm, Tues 8:40pm - 8:55pm"
7/11/2021,bblann26@ovh.net,mrawson26,rabeles26,mwiddecombe26,,,,"Tues 5:10pm - 5:25pm, Weds 7:40pm - 7:55pm, Tues 8:20pm - 8:35pm, Tues 4:30pm - 4:45pm, Tues 8:00pm - 8:15pm, Tues 6:20pm - 6:35pm, Tues 8:40pm - 8:55pm, Weds 9:40pm - 9:55pm, Weds 8:00pm - 8:15pm, Tues 11:20am - 11:35am, Tues 5:10pm - 5:25pm, Weds 2:20pm - 2:35pm, Weds 8:40pm - 8:55pm"
6/29/2021,gdowda27@netvibes.com,nbadland27,aion27,bghidotti27,,,,"Weds 8:40pm - 8:55pm, Weds 2:20pm - 2:35pm, Tues 10:00am - 10:15am, Tues 10:20am - 10:35am, Weds 5:20pm - 5:35pm, Tues 8:00pm - 8:15pm, Weds 2:00pm - 2:15pm, Weds 9:40pm - 9:55pm, Tues 6:40pm - 6:55pm, Tues 5:10pm - 5:25pm, Weds 7:00pm - 7:15pm, Tues 4:50pm - 5:05pm, Tues 11:00am - 11:15am, Weds 9:20pm - 9:35pm, Tues 11:20am - 11:35am"
3/2/2021,loclovan28@bbc.co.uk,rthresher28,cnurden28,dmorsey28,,,,"Tues 7:00pm - 7:15pm, Weds 5:40pm - 5:55pm, Tues 6:40pm - 6:55pm, Tues 10:00am - 10:15am, Weds 8:20pm - 8:35pm, Tues 7:20pm - 7:35pm, Tues 10:20am - 10:35am, Weds 5:00pm - 5:15pm, Weds 9:00pm - 9:15pm, Tues 7:40pm - 7:55pm, Weds 7:40pm - 7:55pm, Weds 9:20pm - 9:35pm, Tues 8:00pm - 8:15pm, Weds 8:40pm - 8:55pm, Tues 4:30pm - 4:45pm, Tues 5:10pm - 5:25pm, Weds 7:20pm - 7:35pm, Tues 5:10pm - 5:25pm, Tues 8:20pm - 8:35pm, Tues 11:00am - 11:15am, Tues 8:40pm - 8:55pm"
6/1/2021,bscrowson29@seesaa.net,jivanshintsev29,llucy29,mcrawshaw29,,,,"Tues 5:10pm - 5:25pm, Weds 7:00pm - 7:15pm, Weds 9:00pm - 9:15pm"
11/14/2021,ledgington2a@timesonline.co.uk,gscade2a,hcanning2a,gmccraw2a,stremblot2a,wgonning2a,gbernardotti2a,"Tues 10:00am - 10:15am, Tues 11:00am - 11:15am, Tues 7:00pm - 7:15pm, Tues 6:40pm - 6:55pm, Tues 6:20pm - 6:35pm, Tues 10:40am - 10:55am, Weds 5:40pm - 5:55pm, Tues 8:00pm - 8:15pm, Tues 10:20am - 10:35am, Weds 5:20pm - 5:35pm, Tues 11:20am - 11:35am, Weds 9:40pm - 9:55pm, Weds 5:00pm - 5:15pm, Weds 7:00pm - 7:15pm, Weds 2:20pm - 2:35pm, Weds 9:00pm - 9:15pm, Weds 7:20pm - 7:35pm, Tues 5:10pm - 5:25pm, Tues 7:20pm - 7:35pm, Tues 7:40pm - 7:55pm, Tues 5:10pm - 5:25pm, Weds 8:20pm - 8:35pm, Weds 2:00pm - 2:15pm, Weds 7:40pm - 7:55pm, Tues 4:50pm - 5:05pm"
8/31/2021,nholliar2b@tripadvisor.com,lschaumann2b,celphee2b,acoppledike2b,,,,"Tues 7:40pm - 7:55pm, Tues 8:20pm - 8:35pm, Weds 2:00pm - 2:15pm, Tues 7:20pm - 7:35pm, Tues 10:20am - 10:35am, Tues 10:40am - 10:55am, Tues 4:50pm - 5:05pm, Tues 5:10pm - 5:25pm, Weds 9:00pm - 9:15pm"
9/3/2021,rlitster2c@reverbnation.com,celcome2c,cjoiner2c,fmauchline2c,,,,"Weds 8:00pm - 8:15pm, Weds 2:00pm - 2:15pm, Tues 10:00am - 10:15am, Tues 7:00pm - 7:15pm, Tues 8:40pm - 8:55pm, Tues 8:20pm - 8:35pm, Weds 7:20pm - 7:35pm, Tues 6:00pm - 6:15pm, Weds 9:40pm - 9:55pm, Tues 6:20pm - 6:35pm, Tues 11:00am - 11:15am, Weds 5:40pm - 5:55pm, Tues 5:10pm - 5:25pm, Weds 7:40pm - 7:55pm, Tues 11:20am - 11:35am, Weds 8:20pm - 8:35pm"
10/18/2021,smcgrail2d@chicagotribune.com,bridgers2d,cjirick2d,tpawle2d,,,,"Weds 5:00pm - 5:15pm, Tues 10:00am - 10:15am, Tues 5:10pm - 5:25pm, Weds 7:20pm - 7:35pm, Tues 4:50pm - 5:05pm, Tues 6:00pm - 6:15pm, Weds 7:40pm - 7:55pm, Weds 9:40pm - 9:55pm, Weds 7:00pm - 7:15pm, Tues 10:20am - 10:35am, Tues 7:00pm - 7:15pm, Tues 4:30pm - 4:45pm, Weds 8:40pm - 8:55pm, Tues 6:20pm - 6:35pm, Weds 2:20pm - 2:35pm, Tues 5:10pm - 5:25pm, Tues 8:40pm - 8:55pm, Weds 9:20pm - 9:35pm, Tues 11:00am - 11:15am, Weds 2:40pm - 2:55pm, Tues 8:20pm - 8:35pm, Weds 2:00pm - 2:15pm"
8/15/2021,ediprose2e@mapquest.com,sfink2e,eatlay2e,yallworthy2e,mcaldecott2e,qdearl2e,gnewvill2e,"Tues 8:40pm - 8:55pm, Tues 7:20pm - 7:35pm, Tues 7:00pm - 7:15pm, Weds 7:00pm - 7:15pm, Weds 8:20pm - 8:35pm, Weds 8:40pm - 8:55pm, Tues 8:00pm - 8:15pm, Weds 2:40pm - 2:55pm, Weds 7:40pm - 7:55pm, Tues 6:00pm - 6:15pm, Tues 7:40pm - 7:55pm, Weds 7:20pm - 7:35pm, Weds 5:40pm - 5:55pm, Weds 9:00pm - 9:15pm, Tues 4:30pm - 4:45pm, Weds 5:20pm - 5:35pm, Tues 10:00am - 10:15am"
12/6/2021,emenichillo2f@netlog.com,syerill2f,stwitty2f,ahintze2f,orendell2f,rdecaroli2f,coglesbee2f,"Tues 4:50pm - 5:05pm, Tues 8:00pm - 8:15pm, Weds 5:40pm - 5:55pm, Tues 7:00pm - 7:15pm, Weds 5:00pm - 5:15pm, Weds 8:40pm - 8:55pm, Tues 11:00am - 11:15am, Tues 4:30pm - 4:45pm, Tues 6:20pm - 6:35pm, Tues 10:20am - 10:35am, Tues 5:10pm - 5:25pm, Tues 10:40am - 10:55am, Weds 2:20pm - 2:35pm, Tues 11:20am - 11:35am, Tues 5:10pm - 5:25pm, Weds 7:00pm - 7:15pm, Tues 8:20pm - 8:35pm, Tues 8:40pm - 8:55pm, Tues 7:40pm - 7:55pm, Tues 6:40pm - 6:55pm, Weds 9:20pm - 9:35pm, Tues 7:20pm - 7:35pm"
11/5/2021,wlean2g@flickr.com,gchasemoore2g,rsultan2g,ascarsbrooke2g,,,,"Tues 5:10pm - 5:25pm, Tues 6:40pm - 6:55pm"
6/11/2021,xtick2h@japanpost.jp,rfurbank2h,pjensen2h,lrowthorne2h,,,,"Weds 5:00pm - 5:15pm, Tues 10:40am - 10:55am, Weds 2:40pm - 2:55pm, Weds 8:20pm - 8:35pm, Tues 11:00am - 11:15am, Tues 10:20am - 10:35am, Tues 7:00pm - 7:15pm, Weds 2:20pm - 2:35pm, Weds 9:00pm - 9:15pm, Tues 4:30pm - 4:45pm, Weds 5:40pm - 5:55pm, Tues 6:40pm - 6:55pm, Weds 9:20pm - 9:35pm, Weds 7:20pm - 7:35pm, Tues 10:00am - 10:15am, Tues 8:40pm - 8:55pm, Weds 8:00pm - 8:15pm"
